name,team,era,position,overall,pace,shooting,passing,dribbling,defending,physical,goalkeeping,big_game,nationality,source_label,source_url,source_game,source_notes
Alessandro Costacurta,AC Milan,1980s,CB,89,72,42,72,72,90,84,,90,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and defensive reputation reviewed for an EA-style proxy
Mauro Tassotti,AC Milan,1980s,RB,88,76,46,74,74,88,82,,89,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and defensive reputation reviewed for an EA-style proxy
Carlo Ancelotti,AC Milan,1980s,CM,90,70,76,88,84,80,82,,92,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and midfield reputation reviewed for an EA-style proxy
Roberto Donadoni,AC Milan,1980s,RM,89,84,82,86,88,68,78,,91,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and creative reputation reviewed for an EA-style proxy
Alberico Evani,AC Milan,1980s,LM,87,78,74,84,82,72,78,,88,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and squad role reviewed for an EA-style proxy
Angelo Colombo,AC Milan,1980s,CM,86,76,68,80,78,76,80,,87,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and squad role reviewed for an EA-style proxy
Pietro Paolo Virdis,AC Milan,1980s,ST,87,76,88,74,80,40,78,,88,Italy,Legacy proxy: AC Milan 1980s squad,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,Serie A scoring reputation and Milan era reviewed for an EA-style proxy
Daniele Massaro,AC Milan,1980s,ST,87,78,86,75,82,48,80,,89,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and Milan reputation reviewed for an EA-style proxy
Sebastiano Rossi,AC Milan,1990s,GK,89,50,22,58,56,64,80,89,90,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and historical reputation reviewed for an EA-style proxy
Alessandro Costacurta,AC Milan,1990s,CB,91,72,42,73,73,92,85,,92,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and defensive reputation reviewed for an EA-style proxy
Mauro Tassotti,AC Milan,1990s,RB,88,74,44,73,73,88,82,,89,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and defensive reputation reviewed for an EA-style proxy
Demetrio Albertini,AC Milan,1990s,CM,90,72,78,90,86,78,80,,92,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and playmaking reputation reviewed for an EA-style proxy
Zvonimir Boban,AC Milan,1990s,AM,90,78,82,89,89,66,76,,91,Croatia,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and creative reputation reviewed for an EA-style proxy
Dejan Savićević,AC Milan,1990s,AM,91,84,86,88,92,42,74,,94,Montenegro,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League final goal and creative reputation reviewed for an EA-style proxy
Marcel Desailly,AC Milan,1990s,CB,91,78,62,76,76,92,90,,93,France,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League final role and defensive reputation reviewed for an EA-style proxy
Roberto Donadoni,AC Milan,1990s,RM,88,82,80,85,87,66,77,,89,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and creative reputation reviewed for an EA-style proxy
Daniele Massaro,AC Milan,1990s,ST,88,78,88,76,82,48,80,,92,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League final goals and Milan reputation reviewed for an EA-style proxy
Christian Panucci,AC Milan,1990s,RB,87,78,48,73,74,87,82,,88,Italy,Legacy proxy: AC Milan 1994 Champions League winners,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Champions League winning era and defensive reputation reviewed for an EA-style proxy
Gianluigi Lentini,AC Milan,1990s,LM,86,84,80,80,85,50,76,,86,Italy,Legacy proxy: AC Milan 1990s squad,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Milan-era reputation reviewed for an EA-style proxy
Stefano Eranio,AC Milan,1990s,RM,86,82,76,82,84,62,76,,87,Italy,Legacy proxy: AC Milan 1990s squad,https://en.wikipedia.org/wiki/1994_UEFA_Champions_League_final,Historical proxy rating,Milan-era squad role and reputation reviewed for an EA-style proxy
