Name,Ratings,Position,Version,PS,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,Country
Daniel Haas,71,GK,,0,1,3,72,71,66,76,45,68,"188cm | 6'2""",0,-,-,TSG 1899 Hoffenheim,Germany
Gianpaolo Bellini,71,LB,,0,2,4,67,53,67,60,71,59,"180cm | 5'11""",0,-,-,A. Bergamo,Italy
Markus Miller,71,GK,,0,1,3,74,67,60,74,45,72,"189cm | 6'2""",0,-,-,Hannover 96,Germany
Cristiano Zanetti,71,CDM,,0,2,4,36,63,78,48,63,46,"180cm | 5'11""",0,-,-,Brescia,Italy
Benjamin Köhler,71,LM,,0,3,3,76,65,67,74,53,75,"172cm | 5'8""",0,-,-,Eintracht Frankfurt,Germany
Juan Pablo Ángel,71,ST,,0,3,4,58,71,48,70,55,75,"184cm | 6'0""",0,-,-,Club Deportivo Chivas USA,Colombia
Neil Alexander,71,GK,,0,1,3,74,76,61,69,56,75,"185cm | 6'1""",0,-,-,Rangers,Scotland
Fahid Ben Khalfallah,71,RM,,0,3,3,76,62,69,74,49,50,"170cm | 5'7""",0,-,-,Girondins de Bordeaux,Tunisia
Andrea Campagnolo,71,GK,,0,1,2,70,70,65,72,51,74,"184cm | 6'0""",0,-,-,Catania,Italy
Peter Løvenkrands,71,CF,,0,3,3,69,70,75,74,54,66,"180cm | 5'11""",0,-,-,Newcastle United,Denmark
Jorge Miguel de Oliveira Ribeiro,71,CM,,0,2,3,71,68,71,66,63,60,"172cm | 5'8""",0,-,-,Granada Club de Fútbol,Portugal
Paulo César Silva Peixoto,71,LM,,0,3,3,55,65,73,73,72,73,"182cm | 6'0""",0,-,-,Sport Lisboa Benfica,Portugal
Sergio Fernández González,71,CB,,0,2,3,36,44,55,50,76,69,"191cm | 6'3""",0,-,-,Club Atlético Osasuna,Spain
Óscar Javier González Marcos,71,CAM,,0,3,3,69,72,71,68,51,62,"176cm | 5'9""",0,-,-,Real Valladolid Club de Fútbol S.A.D.,Spain
Javier Rodríguez Venta,71,RB,,0,2,3,66,49,68,61,72,64,"180cm | 5'11""",0,-,-,Levante Unión Deportiva S.A.D.,Spain
Rémi Gomis,71,CDM,,0,2,3,69,58,63,65,75,72,"180cm | 5'11""",0,-,-,Valenciennes FC,Senegal
Renaud Cohade,71,CM,,0,3,3,64,66,71,69,75,71,"180cm | 5'11""",0,-,-,Valenciennes FC,France
Michele Marcolini,71,CM,,0,2,3,65,69,75,65,64,59,"173cm | 5'8""",0,-,-,Padua,Italy
Juán Francisco Martínez Modesto,71,ST,,0,3,4,74,71,58,67,52,62,"169cm | 5'7""",0,-,-,Club Atlético Osasuna,Spain
Marco Wölfli,71,GK,,0,1,3,71,67,74,78,64,68,"186cm | 6'1""",0,-,-,BSC Young Boys,Switzerland
Gonzalo Sorondo,71,CB,,0,2,3,52,49,52,51,76,62,"190cm | 6'3""",0,-,-,I. Porto Alegre,Uruguay
Bertrand Laquait,71,GK,,0,1,3,72,74,69,72,30,72,"185cm | 6'1""",0,-,-,Evian Thonon Gaillard FC,France
Pascal Berenguer,71,CDM,,0,2,3,62,71,69,58,71,72,"175cm | 5'9""",0,-,-,Racing Club de Lens,France
Oscar Ewolo,71,CDM,,0,3,4,58,54,65,63,64,60,"171cm | 5'7""",0,-,-,Stade Brestois 29,Congo
Laurent Batlles,71,CAM,,0,3,3,52,71,71,72,56,63,"174cm | 5'9""",0,-,-,A.S. Saint-Etienne,France
Jelle ten Rouwelaar,71,GK,,0,1,3,71,68,67,73,52,72,"186cm | 6'1""",0,-,-,NAC Breda,Netherlands
Andy Lonergan,71,GK,,0,1,2,73,69,68,75,50,67,"192cm | 6'4""",0,-,-,Leeds United,England
Francesco Lodi,71,CM,,0,3,3,52,73,77,73,57,52,"183cm | 6'0""",0,-,-,Catania,Italy
Steven Reid,71,RB,,0,3,3,67,74,74,65,72,74,"180cm | 5'11""",0,-,-,West Bromwich Albion,Republic of Ireland
Mikkel Thygesen,71,RM,,0,3,4,74,71,69,69,64,67,"184cm | 6'0""",0,-,-,Brøndby IF,Denmark
Simen Brenne,71,CAM,,0,3,4,70,69,60,64,58,72,"181cm | 5'11""",0,-,-,Odd Grenland,Norway
Steven Whittaker,71,RB,,0,2,4,84,58,68,68,74,69,"185cm | 6'1""",0,-,-,Rangers,Scotland
Benjamin De Ceulaer,71,LW,,0,4,3,78,68,65,75,45,48,"175cm | 5'9""",0,-,-,Sporting Lokeren OV,Belgium
Hasan Kabze,71,CF,,0,3,4,62,73,68,74,52,66,"185cm | 6'1""",0,-,-,Montpellier Hérault Sport Club,Turkey
Stephan Andersen,71,GK,,0,1,2,74,63,67,77,54,69,"190cm | 6'3""",0,-,-,Evian Thonon Gaillard FC,Denmark
Leon Andreasen,71,CDM,,0,2,3,62,59,63,69,73,73,"185cm | 6'1""",0,-,-,Hannover 96,Denmark
Shola Ameobi,71,ST,,0,3,3,67,66,44,72,57,74,"191cm | 6'3""",0,-,-,Newcastle United,Nigeria
Grégory Leca,71,CB,,0,2,3,31,57,68,56,76,66,"183cm | 6'0""",0,-,-,Stade Malherbe Caen,France
Grégory Bourillon,71,CB,,0,2,3,40,51,66,48,68,74,"187cm | 6'2""",0,-,-,FC Lorient Bretagne Sud,France
Cláudio Roberto Da Silva,71,CB,,0,2,3,32,43,59,61,71,75,"180cm | 5'11""",0,-,-,A. Florianópolis,Brazil
Stephen Dobbie,71,CAM,,0,3,3,58,69,57,70,58,59,"173cm | 5'8""",0,-,-,Swansea City,Scotland
Ron Stam,71,RB,,0,3,4,69,69,71,70,70,60,"175cm | 5'9""",0,-,-,Wigan Athletic,Netherlands
Rubens Fernando Moedim,71,GK,,0,1,2,69,68,61,77,47,72,"186cm | 6'1""",0,-,-,Palermo,Brazil
Kléber de Carvalho Correa,71,LB,,0,3,2,68,71,78,73,69,59,"177cm | 5'10""",0,-,-,I. Porto Alegre,Brazil
Paul Freier,71,RM,,0,3,3,78,65,69,73,63,54,"180cm | 5'11""",0,-,-,VfL Bochum,Germany
Diego Costa de Menezes,71,GK,,0,1,2,76,74,68,71,39,74,"186cm | 6'1""",0,-,-,C. Nordeste,Brazil
Jônatas Domingos,71,CDM,,0,2,2,48,62,68,67,75,61,"181cm | 5'11""",0,-,-,Santa Catarina,Brazil
Eduardo Nascimento Costa,71,CDM,,0,2,4,58,59,69,65,68,65,"186cm | 6'1""",0,-,-,Vasco da Gama,Brazil
Daniel Majstorović,71,CB,,0,2,2,51,38,49,52,77,68,"190cm | 6'3""",0,-,-,Celtic,Sweden
Fábio Pereira da Cruz,71,CB,,0,2,3,67,47,46,39,74,78,"188cm | 6'2""",0,-,-,Coritiba,Brazil
Marcelo de Mattos Terra,71,CDM,,0,2,3,66,63,69,62,70,72,"179cm | 5'10""",0,-,-,Botafogo,Brazil
Leonardo da Silva Moura,71,RB,,0,2,2,83,71,75,79,66,57,"176cm | 5'9""",0,-,-,Flamengo,Brazil
Martin Jørgensen,71,CM,,0,3,3,63,71,73,71,64,67,"179cm | 5'10""",0,-,-,Aarhus GF,Denmark
Luciano José Pereira da Silva,71,GK,,0,1,3,75,60,70,80,65,68,"174cm | 5'9""",0,-,-,FC Groningen,Brazil
Daniel Baier,71,RM,,0,3,3,73,65,70,71,48,66,"175cm | 5'9""",0,-,-,FC Augsburg,Germany
Maurizio Lanzaro,71,CB,,0,2,3,56,46,51,46,76,70,"183cm | 6'0""",0,-,-,Real Zaragoza S.A.D.,Italy
Francesco Benussi,71,GK,,0,1,1,73,71,66,75,50,66,"188cm | 6'2""",0,-,-,Palermo,Italy
Thiago Gentil,71,CAM,,0,4,3,58,68,68,73,51,65,"180cm | 5'11""",0,-,-,CD Nacional,Brazil
Roman Kienast,71,ST,,0,3,3,70,68,54,68,57,76,"191cm | 6'3""",0,-,-,SK Sturm Graz,Austria
Nat Borchers,71,CB,,0,2,4,61,43,48,52,75,75,"189cm | 6'2""",0,-,-,Real Salt Lake,United States
Chris Baird,71,RB,,0,2,4,67,55,66,59,70,77,"179cm | 5'10""",0,-,-,Fulham,Northern Ireland
Brett Holman,71,LW,,0,3,4,77,68,66,72,59,60,"176cm | 5'9""",0,-,-,AZ Alkmaar,Australia
Kees Kwakman,71,CB,,0,2,3,61,58,70,64,75,66,"187cm | 6'2""",0,-,-,FC Groningen,Netherlands
Roel Brouwers,71,CB,,0,2,3,56,44,48,47,74,74,"192cm | 6'4""",0,-,-,Borussia M'gladbach,Netherlands
Benjamin Mwaruwari,71,ST,,0,3,3,71,68,58,70,55,75,"188cm | 6'2""",0,-,-,Portsmouth,Zimbabwe
Ignacio Javier Gómez Novo,71,CF,,0,3,3,79,65,62,70,55,68,"175cm | 5'9""",0,-,-,Real Sporting de Gijón S.A.D.,Spain
Ayodele Stephen Makinwa,71,ST,,0,3,3,81,66,58,68,55,67,"186cm | 6'1""",0,-,-,Lazio,Nigeria
Bryan Bergougnoux,71,CAM,,0,3,3,67,64,63,74,51,52,"178cm | 5'10""",0,-,-,Lecce,France
Morten Nordstrand,71,ST,,0,3,3,76,68,52,68,52,72,"177cm | 5'10""",0,-,-,FC København,Denmark
Pável Pardo,71,CDM,,0,3,3,66,63,73,61,69,58,"174cm | 5'9""",0,-,-,Chicago Fire,Mexico
Rafael Schmitz,71,CB,,0,2,3,47,44,54,40,71,76,"182cm | 6'0""",0,-,-,Valenciennes FC,Brazil
Héctor Reynoso,71,CB,,0,2,3,57,53,60,54,76,74,"184cm | 6'0""",0,-,-,Guadalajara,Mexico
Alberto Medina,71,RW,,0,4,4,88,64,67,74,47,61,"172cm | 5'8""",0,-,-,Guadalajara,Mexico
Omar Bravo,71,ST,,0,4,4,72,72,65,73,56,73,"169cm | 5'7""",0,-,-,Kansas City Wizards,Mexico
Miguel Sabah,71,ST,,0,3,3,74,67,64,69,54,74,"175cm | 5'9""",0,-,-,Monarcas Morelia,Mexico
Guillermo Giacomazzi,71,CM,,0,2,3,48,67,70,68,72,76,"183cm | 6'0""",0,-,-,Lecce,Uruguay
Patrick Kisnorbo,71,CB,,0,2,4,59,41,40,46,75,80,"185cm | 6'1""",0,-,-,Leeds United,Australia
Craig Conway,71,LM,,0,3,4,73,64,67,78,55,41,"170cm | 5'7""",0,-,-,Cardiff City,Scotland
Felipe Baloy,71,CB,,0,2,3,64,54,51,56,77,63,"186cm | 6'1""",0,-,-,Santos Laguna,Panama
Daisuke Matsui,71,LM,,0,3,4,74,71,69,78,48,58,"175cm | 5'9""",0,-,-,Dijon FCO,Japan
Damiano Ferronetti,71,RB,,0,2,3,65,46,69,61,72,67,"185cm | 6'1""",0,-,-,Udinese,Italy
Ross Wallace,71,LM,,0,3,4,79,66,71,69,54,62,"167cm | 5'6""",0,-,-,Burnley,Scotland
Nenad Djordjević,71,CB,,0,2,3,63,59,71,51,66,75,"183cm | 6'0""",0,-,-,Krylya Sovetov Samara,Serbia
Ivica Iliev,71,LW,,0,3,4,79,64,59,75,54,54,"182cm | 6'0""",0,-,-,Wisła Kraków,Serbia
Erjon Bogdani,71,ST,,0,2,3,48,66,51,61,60,82,"191cm | 6'3""",0,-,-,A.C. Cesena,Albania
Martín Romagnoli,71,CDM,,0,2,4,64,58,66,58,73,71,"170cm | 5'7""",0,-,-,Toluca,Argentina
Alessandro Mori Nunes,71,RB,,0,3,3,69,57,66,67,73,65,"179cm | 5'10""",0,-,-,Corinthians,Brazil
Mauro Rosales,71,RM,,0,3,3,78,68,71,72,52,64,"173cm | 5'8""",0,-,-,Seattle Sounders FC,Argentina
Francisco Jesús Pérez Malia,71,RB,,0,2,3,74,51,67,64,73,65,"180cm | 5'11""",0,-,-,Real Racing Club S.A.D.,Spain
Roberto Fdez. Alvarellos,71,GK,,0,1,3,77,67,65,76,64,64,"181cm | 5'11""",0,-,-,Granada Club de Fútbol,Spain
Javi Fuego,71,CDM,,0,3,3,66,65,65,63,70,58,"181cm | 5'11""",0,-,-,Rayo Vallecano de Madrid S.A.D.,Spain
Miguel Ángel García Pérez-Roldán,71,CAM,,0,3,4,63,68,77,69,49,43,"175cm | 5'9""",0,-,-,Unión Deportiva Almería S.A.D.,Spain
Iván Alonso,71,ST,,0,3,3,64,69,61,68,48,79,"180cm | 5'11""",0,-,-,Toluca,Uruguay
Mario Bermejo Castanedo,71,ST,,0,3,3,64,69,49,62,61,86,"176cm | 5'9""",0,-,-,Real Club Celta de Vigo S.A.D.,Spain
David Cortés Caballero,71,RB,,0,2,2,79,35,65,68,72,65,"181cm | 5'11""",0,-,-,Granada Club de Fútbol,Spain
Ustaritz Aldekoaotalora,71,CB,,0,2,3,47,44,55,48,73,69,"183cm | 6'0""",0,-,-,Real Betis Balompié S.A.D. ,Spain
Vitaliy Kaleshin,71,RM,,0,3,5,80,53,74,73,56,61,"173cm | 5'8""",0,-,-,Rubin Kazan,Russia
Roman Adamov,71,ST,,0,3,4,73,69,62,65,57,77,"187cm | 6'2""",0,-,-,FC Rostov,Russia
Alexey Medvedev,71,ST,,0,3,3,74,70,52,69,57,77,"178cm | 5'10""",0,-,-,Rubin Kazan,Russia
Igor Lebedenko,71,ST,,0,3,3,73,68,64,68,61,72,"182cm | 6'0""",0,-,-,Rubin Kazan,Russia
Oleg Kuzmin,71,LB,,0,2,3,80,61,68,71,68,65,"175cm | 5'9""",0,-,-,Rubin Kazan,Russia
David Mendes da Silva,71,CM,,0,2,4,70,60,68,70,74,72,"186cm | 6'1""",0,-,-,FC Red Bull Salzburg,Netherlands
Gianluca Comotto,71,RB,,0,2,3,61,59,70,64,72,66,"181cm | 5'11""",0,-,-,A.C. Cesena,Italy
Reginaldo Ferreira da Silva,71,CF,,0,3,4,84,65,65,71,58,62,"175cm | 5'9""",0,-,-,Siena,Brazil
Alessandro Potenza,71,RB,,0,2,3,68,50,66,61,71,69,"185cm | 6'1""",0,-,-,Catania,Italy
Thierry Debès,71,GK,,0,1,3,73,67,72,77,46,71,"185cm | 6'1""",0,-,-,AC Ajaccio,France
Benoît Lesoimier,71,LM,,0,3,4,78,61,70,72,50,46,"171cm | 5'7""",0,-,-,Stade Brestois 29,France
Danny Collins,71,CB,,0,2,3,53,34,56,45,74,78,"183cm | 6'0""",0,-,-,Stoke City,Wales
Edcarlos Conceição Santos,71,CB,,0,2,2,60,42,53,59,73,76,"185cm | 6'1""",0,-,-,Grêmio,Brazil
Daniel Montenegro,71,CAM,,0,4,4,69,66,71,72,55,69,"177cm | 5'10""",0,-,-,América,Argentina
Renato Civelli,71,CB,,0,2,3,37,52,58,35,73,78,"193cm | 6'4""",0,-,-,OGC Nice,Argentina
Jakub Wawrzyniak,71,LB,,0,2,2,81,47,65,64,74,62,"188cm | 6'2""",0,-,-,Legia Warszawa,Poland
Alejandro Faurlín,71,CM,,0,2,3,75,56,73,70,68,68,"185cm | 6'1""",0,-,-,Queens Park Rangers,Argentina
Koikili Lertxundi del Campo,71,LB,,0,2,2,73,58,65,60,70,72,"168cm | 5'6""",0,-,-,Athletic Club de Bilbao,Spain
Craig Mackail-Smith,71,ST,,0,2,3,81,70,51,66,52,66,"178cm | 5'10""",0,-,-,Brighton &amp; Hove Albion,Scotland
Rob Friend,71,ST,,0,2,3,48,68,45,58,60,76,"195cm | 6'5""",0,-,-,Eintracht Frankfurt,Canada
Emil Jula,71,ST,,0,3,3,71,67,62,68,56,59,"192cm | 6'4""",0,-,-,MSV Duisburg,Romania
Richard Stearman,71,CB,,0,2,3,62,39,48,44,72,73,"191cm | 6'3""",0,-,-,Wolverhampton Wanderers,England
William Salles de Lima Souza,71,ST,,0,2,4,54,70,54,65,56,79,"183cm | 6'0""",0,-,-,A. Florianópolis,Brazil
Márton Fülöp,71,GK,,0,1,3,75,63,65,76,53,68,"198cm | 6'6""",0,-,-,West Bromwich Albion,Hungary
Matthew Mills,71,CB,,0,2,3,64,36,53,37,72,77,"191cm | 6'3""",0,-,-,Leicester City,England
Dexter Blackstock,71,ST,,0,3,3,75,67,44,68,60,81,"185cm | 6'1""",0,-,-,Nottingham Forest,England
Carlitos,71,RM,,0,3,3,75,62,65,75,52,59,"175cm | 5'9""",0,-,-,Hannover 96,Portugal
Marcelo Boeck,71,GK,,0,1,2,70,72,66,72,25,69,"190cm | 6'3""",0,-,-,Sporting CP,Brazil
Rafael Márquez Lugo,71,ST,,0,3,4,76,68,62,68,51,81,"172cm | 5'8""",0,-,-,Monarcas Morelia,Mexico
Jonathan Legear,71,RM,,0,3,3,93,70,65,74,55,67,"179cm | 5'10""",0,-,-,Terek Grozny,Belgium
Marcos Venancio de Albuquerque,71,RB,,0,2,3,65,64,75,69,68,65,"175cm | 5'9""",0,-,-,Paris Saint-Germain,Brazil
Rasmus Lindgren,71,CM,,0,2,4,67,70,69,65,70,70,"180cm | 5'11""",0,-,-,FC Red Bull Salzburg,Sweden
Daniel de Ridder,71,CAM,,0,3,3,71,65,72,72,47,58,"180cm | 5'11""",0,-,-,Grasshopper-Club,Netherlands
Efraín Velarde,71,LM,,0,2,1,86,54,64,71,62,74,"171cm | 5'7""",0,-,-,U.N.A.M.,Mexico
Marco Antonio Palacios,71,CB,,0,2,3,58,48,62,42,72,69,"192cm | 6'4""",0,-,-,U.N.A.M.,Mexico
Djamel Mesbah,71,LM,,0,3,3,80,61,72,68,63,54,"180cm | 5'11""",0,-,-,Lecce,Algeria
José Eduardo Rosa Vale e Castro,71,CB,,0,2,3,63,47,62,55,70,70,"183cm | 6'0""",0,-,-,Real Club Deportivo de La Coruña S.A.D.,Portugal
Tommy Smith,71,RW,,0,3,3,69,69,60,73,51,63,"178cm | 5'10""",0,-,-,Queens Park Rangers,England
Gibril Sankoh,71,CB,,0,2,4,64,50,65,60,73,66,"187cm | 6'2""",0,-,-,FC Augsburg,Sierra Leone
Richard Socrier,71,ST,,0,3,3,58,71,52,62,60,78,"186cm | 6'1""",0,-,-,AC Ajaccio,France
Julien Gorius,71,CAM,,0,2,4,65,74,69,70,62,63,"182cm | 6'0""",0,-,-,KV Mechelen,France
Knut Olav Rindarøy,71,LB,,0,2,3,81,57,72,66,70,60,"178cm | 5'10""",0,-,-,Molde FK,Norway
Cirilo Saucedo,71,GK,,0,1,3,65,76,71,71,42,73,"186cm | 6'1""",0,-,-,Tijuana,Mexico
Roberto Trashorras Gayoso,71,CAM,,0,3,3,54,71,78,72,59,47,"179cm | 5'10""",0,-,-,Rayo Vallecano de Madrid S.A.D.,Spain
Jason Čulina,71,CM,,0,3,4,71,65,73,62,67,66,"175cm | 5'9""",0,-,-,Newcastle United Jets FC,Australia
Igor Lolo,71,CB,,0,2,3,66,49,47,60,74,74,"180cm | 5'11""",0,-,-,Kuban Krasnodar,Ivory Coast
David Abraham,71,CB,,0,2,2,65,56,54,58,75,72,"188cm | 6'2""",0,-,-,FC Basel 1893,Argentina
Milos Maric,71,CM,,0,3,3,75,73,68,72,73,69,"176cm | 5'9""",0,-,-,Lierse SK,Serbia
Víctor Casadesús,71,ST,,0,3,3,65,69,58,69,56,80,"180cm | 5'11""",0,-,-,Real Club Deportivo Mallorca S.A.D.,Spain
Nicola Pozzi,71,ST,,0,2,3,74,69,61,69,53,75,"182cm | 6'0""",0,-,-,Sampdoria,Italy
Luke Chambers,71,CB,,0,2,3,63,22,42,35,73,75,"185cm | 6'1""",0,-,-,Nottingham Forest,England
Sinan Bolat,71,GK,,0,1,3,72,67,76,75,55,68,"188cm | 6'2""",0,-,-,Standard de Liège,Turkey
James Morrison,71,RM,,0,3,3,76,65,71,76,55,48,"178cm | 5'10""",0,-,-,West Bromwich Albion,Scotland
Paulo Jorge Silva Santos,71,GK,,0,1,2,68,73,64,74,27,72,"186cm | 6'1""",0,-,-,Rio Ave FC,Portugal
Rodrigo de Souza Cardoso,71,ST,,0,2,2,54,69,49,58,64,76,"183cm | 6'0""",0,-,-,Bahia,Brazil
Danielson Ferreira Trindade,71,CB,,0,2,3,54,45,43,47,74,76,"186cm | 6'1""",0,-,-,CD Nacional,Brazil
Rovérsio Rodrigues de Barros,71,CB,,0,2,3,67,48,54,56,71,72,"187cm | 6'2""",0,-,-,Club Atlético Osasuna,Brazil
Luke Varney,71,ST,,0,3,4,71,67,66,73,56,62,"180cm | 5'11""",0,-,-,Portsmouth,England
James Vaughan,71,ST,,0,3,3,77,68,55,69,60,70,"180cm | 5'11""",0,-,-,Norwich City,England
Kelvin Wilson,71,CB,,0,2,2,76,26,54,62,73,66,"187cm | 6'2""",0,-,-,Celtic,England
Benoît Angbwa,71,RB,,0,3,3,91,46,66,68,70,70,"176cm | 5'9""",0,-,-,Anzhi Makhachkala,Cameroon
Jonny Magallón,71,CB,,0,2,3,74,47,64,54,74,72,"178cm | 5'10""",0,-,-,Guadalajara,Mexico
Grant Leadbitter,71,CM,,0,3,3,73,68,73,71,67,65,"175cm | 5'9""",0,-,-,Ipswich Town,England
David Cobeño Iglesias,71,GK,,0,1,3,69,75,79,69,48,76,"185cm | 6'1""",0,-,-,Rayo Vallecano de Madrid S.A.D.,Spain
Fabio Caserta,71,CM,,0,3,4,57,63,73,65,66,59,"179cm | 5'10""",0,-,-,A. Bergamo,Italy
Alessio Sestu,71,RM,,0,3,4,80,66,66,72,61,58,"180cm | 5'11""",0,-,-,Siena,Italy
Jacob Mulenga,71,ST,,0,2,3,76,68,61,71,63,68,"186cm | 6'1""",0,-,-,FC Utrecht,Zambia
Mario Lúcio Duarte Costa,71,GK,,0,1,3,84,61,70,77,53,66,"191cm | 6'3""",0,-,-,Santos,Brazil
Mario Lička,71,CAM,,0,3,4,65,66,69,72,56,59,"183cm | 6'0""",0,-,-,Stade Brestois 29,Czech Republic
Marc-André Kruska,71,CDM,,0,2,4,65,62,69,66,69,69,"178cm | 5'10""",0,-,-,Energie Cottbus,Germany
Chris Wondolowski,71,ST,,0,2,3,68,70,60,67,63,70,"185cm | 6'1""",0,-,-,San Jose Earthquakes,United States
Tim Sparv,71,CDM,,0,2,2,37,64,66,55,74,59,"194cm | 6'4""",0,-,-,FC Groningen,Finland
Sebastian Freis,71,RW,,0,3,3,82,67,62,72,52,66,"183cm | 6'0""",0,-,-,1. FC Köln,Germany
Dorin Goian,71,CB,,0,2,3,42,53,54,48,74,66,"196cm | 6'5""",0,-,-,Rangers,Romania
Didier Digard,71,CDM,,0,2,4,69,61,66,71,73,74,"183cm | 6'0""",0,-,-,OGC Nice,France
Mariano Izco,71,CM,,0,2,3,81,65,68,70,72,60,"180cm | 5'11""",0,-,-,Catania,Argentina
Rafał Murawski,71,CM,,0,3,3,78,65,70,75,67,67,"175cm | 5'9""",0,-,-,Lech Poznań,Poland
Jae Sung Kim,71,CM,,0,2,4,82,69,74,66,65,65,"179cm | 5'10""",0,-,-,Pohang Steelers,Korea Republic
Jin Sung Hwang,71,CAM,,0,3,3,84,70,71,71,60,59,"177cm | 5'10""",0,-,-,Pohang Steelers,Korea Republic
Kyle Lafferty,71,ST,,0,2,4,76,64,46,66,56,67,"193cm | 6'4""",0,-,-,Rangers,Northern Ireland
Viktor Fayzulin,71,CAM,,0,3,3,80,60,72,74,51,43,"176cm | 5'9""",0,-,-,Zenit St. Petersburg,Russia
Ismael Fuentes,71,CB,,0,2,3,56,51,61,56,74,78,"182cm | 6'0""",0,-,-,Jaguares de Chiapas,Chile
Denni Avdic,71,ST,,0,3,3,60,70,52,65,58,71,"193cm | 6'4""",0,-,-,Werder Bremen,Sweden
Miroslav Radović,71,CAM,,0,4,2,81,57,64,74,54,64,"182cm | 6'0""",0,-,-,Legia Warszawa,Serbia
Efraín Juárez,71,RB,,0,2,3,79,60,72,71,70,66,"176cm | 5'9""",0,-,-,Real Zaragoza S.A.D.,Mexico
Adrián Aldrete,71,LB,,0,3,3,83,63,70,72,68,66,"177cm | 5'10""",0,-,-,Monarcas Morelia,Mexico
Roman Shishkin,71,RB,,0,3,3,75,60,71,67,67,64,"178cm | 5'10""",0,-,-,Lokomotiv Moskva,Russia
Scott Loach,71,GK,,0,1,3,74,70,65,77,56,67,"185cm | 6'1""",0,-,-,Watford,England
Sebastien Le Toux,71,ST,,0,3,3,74,70,66,75,58,68,"183cm | 6'0""",0,-,-,Philadelphia Union,France
Maor Bar Buzaglo,71,RM,,0,3,4,76,72,68,73,39,63,"176cm | 5'9""",0,-,-,Standard de Liège,Israel
Gakpé,71,RM,,0,3,3,87,69,65,71,48,73,"177cm | 5'10""",0,-,-,FC Nantes,Togo
Andre Mijatović,71,CB,,0,2,3,40,40,41,30,73,79,"191cm | 6'3""",0,-,-,Hertha BSC,Croatia
Barragán,71,RB,,0,2,3,76,51,69,61,70,71,"182cm | 6'0""",0,-,-,Valencia Club de Fútbol S.A.D.,Spain
Armand Traoré,71,LB,,0,2,2,83,51,74,74,67,64,"185cm | 6'1""",0,-,-,Queens Park Rangers,Senegal
Fraizer Campbell,71,ST,,0,3,4,85,65,55,73,56,63,"172cm | 5'8""",0,-,-,Sunderland,England
Danny Rose,71,LB,,0,3,3,83,64,71,73,67,58,"173cm | 5'8""",0,-,-,Tottenham Hotspur,England
Ishmael Miller,71,ST,,0,2,2,81,62,44,68,56,74,"191cm | 6'3""",0,-,-,Nottingham Forest,England
Paul Anderson,71,RM,,0,3,3,80,55,71,73,52,52,"175cm | 5'9""",0,-,-,Nottingham Forest,England
Martin Paterson,71,ST,,0,2,3,82,67,42,68,52,69,"178cm | 5'10""",0,-,-,Burnley,Northern Ireland
Lewis McGugan,71,CAM,,0,3,4,67,75,69,68,59,58,"175cm | 5'9""",0,-,-,Nottingham Forest,England
Sisinio González Martínez,71,RW,,0,4,4,86,62,66,76,41,48,"168cm | 5'6""",0,-,-,Real Valladolid Club de Fútbol S.A.D.,Spain
Jordi Gómez García-Penche,71,CAM,,0,3,3,70,70,72,75,56,54,"178cm | 5'10""",0,-,-,Wigan Athletic,Spain
Pablo Granoche,71,ST,,0,2,3,68,67,59,66,57,73,"183cm | 6'0""",0,-,-,Novara,Uruguay
Christian Fernández,71,LB,,0,2,3,74,50,67,64,71,78,"181cm | 5'11""",0,-,-,Real Racing Club S.A.D.,Spain
Nauzet Alemán Viera,71,RW,,0,3,3,77,73,70,70,54,51,"178cm | 5'10""",0,-,-,Real Valladolid Club de Fútbol S.A.D.,Spain
Leobardo López,71,CB,,0,2,3,64,53,59,57,72,75,"177cm | 5'10""",0,-,-,Pachuca,Mexico
Paul Aguilar,71,RB,,0,2,3,78,58,68,69,71,71,"178cm | 5'10""",0,-,-,América,Mexico
Jose Manuel Catalá Mazuecos,71,LB,,0,2,3,71,50,60,47,73,77,"180cm | 5'11""",0,-,-,Villarreal Club de Fútbol S.A.D.,Spain
Cristiano Moraes de Oliveira,71,CAM,,0,4,4,76,68,68,72,50,63,"175cm | 5'9""",0,-,-,SC Beira Mar,Brazil
Ákos Buzsáky,71,CAM,,0,4,4,68,69,63,77,55,58,"180cm | 5'11""",0,-,-,Queens Park Rangers,Hungary
Christian Kinkela,71,RM,,0,3,3,84,61,68,67,50,54,"177cm | 5'10""",0,-,-,AC Ajaccio,DR Congo
Souleymane Bamba,71,CB,,0,2,3,74,26,54,68,75,74,"190cm | 6'3""",0,-,-,Leicester City,Ivory Coast
Andrew Surman,71,LM,,0,3,3,70,68,72,72,61,61,"178cm | 5'10""",0,-,-,Norwich City,England
Panagiotis Kone,71,CM,,0,3,3,75,67,72,73,67,60,"182cm | 6'0""",0,-,-,Bologna,Greece
Mahamadou N'Diaye,71,CB,,0,2,2,61,30,48,39,73,71,"186cm | 6'1""",0,-,-,Vitória de Guimarães,Mali
Drissa Diakite,71,RB,,0,2,3,74,39,69,56,72,70,"175cm | 5'9""",0,-,-,OGC Nice,Mali
Jimmy Kébé,71,RM,,0,3,4,93,58,62,75,45,57,"187cm | 6'2""",0,-,-,Reading,Mali
