Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Souaré,77,LB,Normal,500,2,2,H \ M,82,49,72,75,74,77,"178cm | 5'10""",0,429,1993,Crystal Palace,Premier League,Senegal
Caulker,77,CB,Normal,400,2,2,M \ H,73,32,56,61,77,78,"191cm | 6'3""",1,377,1643,QPR,EFL Championship,England
Pezzella,77,CB,Normal,450,2,3,M \ M,54,51,46,53,78,75,"186cm | 6'1""",1,357,1607,Real Betis,LaLiga Santander ,Argentina
Pejcinovic,77,CB,Normal,400,2,3,M \ H,54,40,61,54,76,78,"185cm | 6'0""",0,363,1685,Lokomotiv,Russian League,Serbia
André Pinto,77,CB,Normal,700,2,2,M \ M,52,47,56,49,78,80,"194cm | 6'4""",0,362,1632,SC Braga,LIGA NOS,Portugal
André Almeida,77,RB,Normal,400,2,3,M \ H,68,52,71,70,77,78,"186cm | 6'1""",-1,416,1906,SL Benfica,LIGA NOS,Portugal
Potuk,77,RM,Normal,400,3,2,H \ M,85,68,70,81,54,66,"177cm | 5'9""",1,424,1933,Fenerbahçe SK,Süper Lig,Turkey
Okazaki,77,ST,Normal,500,3,4,H \ H,76,75,65,77,43,74,"174cm | 5'8""",0,410,1912,Leicester City,Premier League,Japan
Sergi Enrich,77,ST,Normal,400,3,3,H \ M,61,73,64,71,34,69,"181cm | 5'11""",0,372,1717,SD Eibar,LaLiga Santander ,Spain
Javi López,77,RB,Normal,400,3,3,M \ M,72,53,70,73,74,74,"180cm | 5'10""",0,416,1902,RCD Espanyol,LaLiga Santander ,Spain
Finnbogason,77,ST,Normal,700,2,4,M \ M,68,80,62,73,31,72,"185cm | 6'0""",1,386,1789,FC Augsburg,Bundesliga,Iceland
Ings,77,ST,Normal,700,3,3,H \ H,86,74,63,78,35,70,"178cm | 5'10""",7,406,1813,Liverpool,Premier League,England
Pabón,77,ST,Normal,700,4,4,H \ M,88,78,74,80,41,75,"168cm | 5'6""",6,436,1993,Monterrey,LIGA Bancomer MX,Colombia
Fetfatzidis,77,CAM,Normal,700,4,4,M \ L,84,63,72,84,25,55,"165cm | 5'4""",1,383,1733,Al-Ahli,ALJ League,Greece
Ayew,77,ST,Normal,850,4,3,H \ M,77,76,71,77,31,73,"182cm | 5'11""",1,405,1882,Aston Villa,EFL Championship,Ghana
Lasogga,77,ST,Normal,1.6K,2,3,M \ M,58,79,55,67,38,81,"189cm | 6'2""",1,378,1759,Hamburger SV,Bundesliga,Germany
Bell,77,CB,Normal,400,2,3,M \ M,65,40,56,51,80,73,"192cm | 6'3""",0,365,1627,1. FSV Mainz 05,Bundesliga,Germany
Natcho,77,CDM,Normal,400,3,4,M \ M,68,72,79,77,71,69,"176cm | 5'9""",1,436,2036,CSKA Moskva,Russian League,Israel
Pogba,77,CB,Normal,700,2,3,M \ H,67,45,61,54,77,85,"188cm | 6'2""",0,389,1778,Saint-Etienne,Ligue 1,Guinea
Luis Alberto,77,CAM,Normal,400,3,4,M \ L,66,71,77,76,27,53,"182cm | 5'11""",1,370,1671,Lazio,Calcio A,Spain
Iturbe,77,RW,Normal,1.5K,4,3,M \ M,92,70,67,84,25,54,"169cm | 5'6""",0,392,1801,Roma,Calcio A,Paraguay
Sergio Álvarez,77,CDM,Normal,400,3,3,M \ H,69,64,68,69,72,73,"182cm | 5'11""",0,415,1902,Sporting Gijón,LaLiga Santander ,Spain
Dja Djédjé,77,RB,Normal,400,2,2,H \ M,82,59,69,73,73,78,"170cm | 5'6""",2,434,1937,Watford,Premier League,Ivory Coast
Klose,77,CB,Normal,400,2,3,M \ H,50,42,58,48,79,75,"193cm | 6'3""",0,352,1584,Norwich City,EFL Championship,Switzerland
Pallois,77,CB,Normal,1.9K,2,3,M \ H,64,50,61,58,77,82,"190cm | 6'2""",0,392,1698,Bordeaux,Ligue 1,France
Sergi Gómez,77,CB,Normal,400,2,2,H \ M,49,41,64,62,78,74,"185cm | 6'0""",0,368,1690,Celta Vigo,LaLiga Santander ,Spain
Sels,77,GK,Normal,2.1K,1,3,M \ M,81,71,72,78,37,75,"189cm | 6'2""",-1,414,814,Newcastle Utd,EFL Championship,Belgium
Funes Mori,77,CB,Normal,600,2,3,M \ M,72,50,61,65,76,79,"186cm | 6'1""",0,403,1812,Everton,Premier League,Argentina
Josué,77,RM,Normal,400,4,2,M \ M,70,75,77,81,49,70,"174cm | 5'8""",0,422,1954,Galatasaray SK,Süper Lig,Portugal
van Ginkel,77,CM,Normal,6.2K,3,4,H \ M,72,73,74,74,64,77,"186cm | 6'1""",1,434,1990,Chelsea,Premier League,Netherlands
Rômulo,77,CDM,Normal,850,2,3,M \ H,71,63,72,68,77,76,"186cm | 6'1""",0,427,1931,Spartak Moskva,Russian League,Brazil
Çolak,77,CAM,Normal,0,3,3,M \ M,74,69,74,82,40,50,"169cm | 5'6""",0,389,1832,RC Deportivo,LaLiga Santander ,Turkey
Devic,77,ST,Normal,1.3K,3,4,H \ M,78,77,69,74,36,69,"185cm | 6'0""",0,403,1880,Rubin Kazan,Russian League,Ukraine
De Préville,77,ST,Normal,700,3,3,H \ M,84,75,73,78,33,64,"182cm | 5'11""",1,407,1901,LOSC Lille,Ligue 1,France
Morrison,77,CAM,Normal,2.7K,4,4,M \ L,78,66,74,79,43,64,"175cm | 5'8""",1,404,1813,Lazio,Calcio A,England
Krejcí,77,LM,Normal,400,3,2,H \ M,81,72,75,78,42,59,"180cm | 5'10""",1,407,1905,Bologna,Calcio A,Czech Republic
Tatarusanu,77,GK,Normal,950,1,3,M \ M,74,75,74,78,50,79,"195cm | 6'4""",0,430,823,Fiorentina,Calcio A,Romania
David López,77,CDM,Normal,400,2,3,M \ M,64,62,67,66,74,81,"185cm | 6'0""",0,414,1860,RCD Espanyol,LaLiga Santander ,Spain
Bicakcic,77,CB,Normal,400,2,3,M \ M,66,37,50,47,78,78,"185cm | 6'0""",-1,356,1597,1899 Hoffenheim,Bundesliga,Bosnia Herzegovina
Sturaro,77,CM,Normal,550,2,3,H \ H,75,68,73,76,74,79,"181cm | 5'11""",3,445,2044,Juventus,Calcio A,Italy
Meunier,77,RB,Normal,1.5K,3,4,H \ H,76,72,73,73,73,84,"190cm | 6'2""",6,451,2020,PSG,Ligue 1,Belgium
Aleix Vidal,77,RB,Normal,700,3,4,H \ M,91,67,72,81,69,73,"178cm | 5'10""",1,453,2002,FC Barcelona,LaLiga Santander ,Spain
Suso,77,RM,Normal,1.5K,4,3,M \ L,79,71,74,84,24,48,"176cm | 5'9""",0,380,1764,Milan,Calcio A,Spain
Álvaro,77,CB,Normal,400,2,3,M \ H,72,30,55,57,76,77,"180cm | 5'10""",0,367,1687,Villarreal CF,LaLiga Santander ,Spain
Bittencourt,77,LM,Normal,400,4,4,M \ M,84,66,73,81,53,62,"171cm | 5'7""",1,419,1944,1. FC Köln,Bundesliga,Germany
Kongolo,77,LB,Normal,5.5K,2,4,M \ H,80,42,62,62,78,75,"188cm | 6'2""",2,399,1812,Feyenoord,Eredivisie,Netherlands
Zé Luís,77,ST,Normal,400,2,5,M \ M,75,74,56,74,27,78,"185cm | 6'0""",1,384,1772,Spartak Moskva,Russian League,Cape Verde Islands
Okore,77,CB,Normal,800,2,3,M \ H,79,41,49,59,74,83,"183cm | 6'0""",4,385,1677,FC København,Alka Superliga,Denmark
Musonda,77,LW,Normal,1.3K,5,5,H \ M,88,65,70,83,23,47,"173cm | 5'8""",10,376,1669,Real Betis,LaLiga Santander ,Belgium
Arias,77,RB,Normal,1.4K,2,3,H \ M,84,44,66,73,74,72,"176cm | 5'9""",1,413,1857,PSV,Eredivisie,Colombia
Berahino,77,ST,Normal,9.7K,3,4,M \ M,82,78,57,76,27,60,"180cm | 5'10""",1,380,1727,West Brom,Premier League,England
Luís Neto,77,CB,Normal,600,2,3,M \ M,68,37,57,53,80,72,"187cm | 6'1""",1,367,1696,Zenit,Russian League,Portugal
Rubén Pardo,77,CM,Normal,10K,2,4,M \ M,67,62,79,76,58,59,"182cm | 5'11""",0,401,1885,Real Sociedad,LaLiga Santander ,Spain
Álvarez,77,CAM,Normal,550,4,2,H \ M,66,71,78,80,53,72,"188cm | 6'2""",0,420,1953,Sampdoria,Calcio A,Argentina
Thauvin,77,RM,Normal,1K,4,3,H \ M,81,71,74,81,33,61,"179cm | 5'10""",-3,401,1815,Marseille,Ligue 1,France
Fajr,77,CAM,Normal,1.4K,4,4,M \ M,68,72,79,77,48,67,"178cm | 5'10""",0,411,1909,RC Deportivo,LaLiga Santander ,Morocco
Rüdiger,77,CB,Normal,1.6K,2,3,M \ H,77,40,62,61,76,78,"190cm | 6'2""",1,394,1728,Roma,Calcio A,Germany
Alberto Moreno,77,LB,Normal,850,2,3,H \ M,89,68,68,79,70,74,"171cm | 5'7""",10,448,1999,Liverpool,Premier League,Spain
Castro,77,RM,Normal,400,3,3,H \ M,79,67,75,79,46,68,"180cm | 5'10""",0,414,1916,Chievo Verona,Calcio A,Argentina
Haller,77,ST,Normal,1.6K,3,3,M \ L,77,75,55,73,25,75,"190cm | 6'2""",2,380,1696,FC Utrecht,Eredivisie,France
Feddal,77,CB,Normal,800,2,2,M \ M,58,49,58,57,78,76,"190cm | 6'2""",0,376,1674,Deport. Alavés,LaLiga Santander ,Morocco
Pavoletti,77,ST,Normal,2K,2,3,H \ M,68,76,49,69,27,76,"188cm | 6'2""",1,365,1642,Genoa,Calcio A,Italy
Jairo,77,LM,Normal,400,3,4,M \ M,87,62,72,79,32,56,"172cm | 5'7""",0,388,1769,1. FSV Mainz 05,Bundesliga,Spain
Chiriches,77,CB,Normal,400,2,3,M \ M,69,64,56,61,79,74,"184cm | 6'0""",1,403,1811,Napoli,Calcio A,Romania
Younes,77,LW,Normal,450,3,4,H \ M,78,68,72,85,25,59,"168cm | 5'6""",2,387,1759,Ajax,Eredivisie,Germany
Heintz,77,CB,Normal,400,2,3,M \ M,62,30,63,52,77,76,"189cm | 6'2""",0,360,1610,1. FC Köln,Bundesliga,Germany
Bigas,77,CB,Normal,400,2,2,H \ M,73,52,58,54,77,77,"181cm | 5'11""",0,391,1784,UD Las Palmas,LaLiga Santander ,Spain
Ferri,77,CM,Normal,500,2,3,H \ H,66,68,75,76,66,72,"172cm | 5'7""",0,423,1958,Olympique Lyon,Ligue 1,France
Pléa,77,ST,Normal,1.3K,3,3,H \ M,79,79,75,76,38,67,"181cm | 5'11""",0,414,1890,OGC Nice,Ligue 1,France
Vargas,77,CF,Normal,800,4,4,M \ M,81,76,71,82,32,62,"176cm | 5'9""",2,404,1890,1899 Hoffenheim,Bundesliga,Chile
Lingard,77,RM,Normal,600,3,3,H \ M,83,68,71,79,49,62,"174cm | 5'8""",5,412,1893,Manchester Utd,Premier League,England
Ginter,77,RB,Normal,1.4K,2,3,M \ M,60,58,72,65,80,76,"190cm | 6'2""",0,411,1897,Bor. Dortmund,Bundesliga,Germany
Pizarro,77,CDM,Normal,3.5K,2,3,M \ H,58,60,71,66,72,84,"186cm | 6'1""",0,411,1900,Tigres,LIGA Bancomer MX,Argentina
Albentosa,77,CB,Normal,400,2,3,M \ M,40,47,53,42,77,83,"194cm | 6'4""",0,342,1551,RC Deportivo,LaLiga Santander ,Spain
Saïss,77,CDM,Normal,400,2,4,M \ M,70,53,64,71,77,73,"190cm | 6'2""",1,408,1806,Wolves,EFL Championship,Morocco
Niasse,77,ST,Normal,1.3K,2,3,M \ M,83,75,57,75,30,73,"182cm | 5'11""",0,393,1749,Everton,Premier League,Senegal
González,77,CB,Normal,4K,2,3,M \ M,74,45,52,59,78,71,"186cm | 6'1""",1,379,1680,Palermo,Calcio A,Costa Rica
Belotti,77,ST,Normal,950,3,4,H \ H,77,76,55,74,26,77,"181cm | 5'11""",1,385,1759,Torino,Calcio A,Italy
Grimaldo,77,LB,Normal,900,3,2,H \ M,86,59,71,78,71,68,"176cm | 5'9""",-1,433,1980,SL Benfica,LIGA NOS,Spain
Schär,77,CB,Normal,8.3K,2,4,H \ H,66,63,70,65,76,78,"186cm | 6'1""",0,418,1962,1899 Hoffenheim,Bundesliga,Switzerland
Córdoba,77,ST,Normal,1.4K,3,3,H \ H,80,74,61,73,39,82,"186cm | 6'1""",4,409,1854,1. FSV Mainz 05,Bundesliga,Colombia
Hofmann,77,RM,Normal,400,3,3,M \ L,79,67,73,78,34,56,"175cm | 5'8""",1,387,1791,Bor. M'gladbach,Bundesliga,Germany
Szymanowski,77,LW,Normal,750,4,3,M \ M,89,72,70,77,36,57,"174cm | 5'8""",1,401,1834,CD Leganés,LaLiga Santander ,Argentina
Ghezzal,77,RW,Normal,1K,4,3,M \ M,76,72,77,80,46,62,"182cm | 5'11""",1,413,1890,Olympique Lyon,Ligue 1,Algeria
Jonny,77,LB,Normal,700,2,3,H \ M,78,42,64,68,77,76,"175cm | 5'8""",0,405,1850,Celta Vigo,LaLiga Santander ,Spain
Zuffi,77,CM,Normal,400,2,4,M \ M,71,69,80,73,62,71,"180cm | 5'10""",0,426,1969,FC Basel,Raiffeisen SL,Switzerland
Dos Santos,77,CB,Normal,1.1K,2,3,M \ M,64,39,53,52,78,76,"182cm | 5'11""",0,362,1655,SD Eibar,LaLiga Santander ,Argentina
Mbemba,77,CB,Normal,700,2,3,H \ M,78,56,52,69,77,79,"182cm | 5'11""",0,411,1771,Newcastle Utd,EFL Championship,DR Congo
Carles Gil,77,RM,Normal,400,4,3,H \ L,70,68,76,81,39,56,"170cm | 5'6""",2,390,1804,RC Deportivo,LaLiga Santander ,Spain
Manquillo,77,RB,Normal,1K,2,3,H \ M,81,44,65,72,73,74,"180cm | 5'10""",0,409,1847,Sunderland,Premier League,Spain
Víctor Rodríguez,77,CAM,Normal,4.9K,3,4,M \ M,77,70,72,80,39,61,"170cm | 5'6""",0,399,1812,Sporting Gijón,LaLiga Santander ,Spain
Pedro Santos,77,RM,Normal,900,3,3,H \ M,91,70,70,80,31,51,"173cm | 5'8""",0,393,1826,SC Braga,LIGA NOS,Portugal
Benassi,77,CM,Normal,5.9K,3,3,M \ M,69,70,74,76,71,77,"184cm | 6'0""",0,437,2015,Torino,Calcio A,Italy
Bruma,77,LW,Normal,2.9K,4,4,H \ M,93,70,70,83,28,58,"173cm | 5'8""",2,402,1839,Galatasaray SK,Süper Lig,Portugal
Iuri Medeiros,77,RM,Normal,400,4,3,H \ M,82,72,71,81,29,61,"174cm | 5'8""",0,396,1863,Boavista,LIGA NOS,Portugal
Gerhardt,77,CM,Normal,400,3,3,H \ M,69,69,74,75,68,74,"184cm | 6'0""",0,429,1938,VfL Wolfsburg,Bundesliga,Germany
Bazoer,77,CM,Normal,7.8K,3,3,M \ M,76,66,75,79,64,75,"184cm | 6'0""",1,435,1968,Ajax,Eredivisie,Netherlands
Alex Telles,77,LB,Normal,500,3,2,H \ M,83,60,72,76,74,67,"181cm | 5'11""",-1,432,2002,FC Porto,LIGA NOS,Brazil
Medrán,77,CM,Normal,400,2,4,M \ M,59,65,77,73,65,60,"176cm | 5'9""",0,399,1895,Valencia CF,LaLiga Santander ,Spain
Vangioni,77,LB,Normal,850,3,2,H \ M,88,64,70,73,71,73,"181cm | 5'11""",2,439,2007,Milan,Calcio A,Argentina
Lemina,77,CM,Normal,1K,3,3,M \ M,79,66,76,79,64,78,"183cm | 6'0""",5,442,2019,Juventus,Calcio A,Gabon
Depoitre,77,ST,Normal,900,2,3,H \ H,65,74,62,64,37,86,"191cm | 6'3""",1,388,1711,FC Porto,LIGA NOS,Belgium
Aderllan Santos,77,CB,Normal,400,2,2,M \ M,52,51,44,52,80,79,"193cm | 6'3""",0,358,1630,Valencia CF,LaLiga Santander ,Brazil
Pardo,77,RW,Normal,0,3,4,H \ M,86,77,70,78,38,77,"178cm | 5'10""",1,426,1934,Olympiakos CFP,Hellas Liga,Colombia
Hernández,77,CAM,Normal,700,4,3,M \ M,88,70,71,78,22,46,"160cm | 5'2""",4,375,1740,Junior FC,Liga Dimayor,Colombia
Torres,77,CDM,Normal,400,2,3,M \ H,58,61,70,71,71,79,"183cm | 6'0""",0,410,1906,Deport. Alavés,LaLiga Santander ,Colombia
Armani,77,GK,Normal,400,1,2,M \ M,76,73,67,77,30,79,"189cm | 6'2""",0,402,751,Atl. Nacional,Liga Dimayor,Argentina
Mejía,77,CDM,Normal,400,2,2,M \ H,64,46,66,60,73,84,"178cm | 5'10""",0,393,1745,Club León,LIGA Bancomer MX,Colombia
Mas,77,LB,Normal,3.9K,2,2,M \ M,81,60,68,72,73,80,"183cm | 6'0""",0,434,1954,San Lorenzo,Primera División,Argentina
Kranevitter,77,CDM,Normal,1K,2,3,L \ M,66,46,66,69,76,75,"179cm | 5'10""",0,398,1802,Sevilla FC,LaLiga Santander ,Argentina
Cuesta,77,CB,Normal,400,2,3,M \ M,60,46,56,60,78,78,"187cm | 6'1""",0,378,1687,Independiente,Primera División,Argentina
Alario,77,ST,Normal,400,3,3,H \ M,71,74,58,74,26,75,"178cm | 5'10""",0,378,1730,River Plate,Primera División,Argentina
Rúben Vezo,77,CB,Normal,400,2,2,M \ M,66,49,59,56,78,75,"183cm | 6'0""",0,383,1746,Granada CF,LaLiga Santander ,Portugal
Jemerson,77,CB,Normal,400,2,2,M \ M,67,32,48,55,78,73,"184cm | 6'0""",1,353,1578,AS Monaco,Ligue 1,Brazil
Monetti,77,GK,Normal,400,1,2,M \ M,78,79,75,80,56,72,"184cm | 6'0""",0,440,911,Lanús,Primera División,Argentina
Zappacosta,77,RWB,Normal,550,2,2,H \ H,82,67,69,73,73,72,"182cm | 5'11""",-1,436,1987,Torino,Calcio A,Italy
Dani García,77,CDM,Normal,1.9K,3,3,M \ M,46,55,71,68,68,77,"180cm | 5'10""",0,385,1797,SD Eibar,LaLiga Santander ,Spain
Tete,77,RB,Normal,4.4K,2,3,M \ H,79,42,60,68,79,76,"180cm | 5'10""",0,404,1787,Ajax,Eredivisie,Netherlands
Kramaric,77,ST,Normal,400,3,4,M \ M,73,77,63,79,26,70,"177cm | 5'9""",0,388,1819,1899 Hoffenheim,Bundesliga,Croatia
Tielemans,77,CM,Normal,850,3,5,M \ M,60,73,77,77,67,64,"177cm | 5'9""",5,418,1987,RSC Anderlecht,Pro League,Belgium
Cartabia,77,RM,Normal,3.5K,4,3,H \ M,79,73,73,83,33,52,"170cm | 5'6""",0,393,1841,Valencia CF,LaLiga Santander ,Argentina
Izquierdo,77,LW,Normal,700,4,3,H \ M,93,70,66,81,27,62,"171cm | 5'7""",2,399,1769,Club Brugge,Pro League,Colombia
Calleri,77,ST,Normal,1.4K,3,2,H \ M,76,74,61,73,39,74,"175cm | 5'8""",2,397,1813,West Ham,Premier League,Argentina
N'Doye,77,CM,Normal,800,2,2,H \ H,58,71,72,66,76,90,"192cm | 6'3""",1,433,1963,Angers SCO,Ligue 1,Senegal
Vecino,77,CM,Normal,850,3,3,H \ H,69,66,74,74,70,77,"187cm | 6'1""",0,430,1945,Fiorentina,Calcio A,Uruguay
Dani Ceballos,77,CAM,Normal,1K,3,3,M \ M,67,59,74,81,49,57,"176cm | 5'9""",2,387,1779,Real Betis,LaLiga Santander ,Spain
Andone,77,ST,Normal,400,3,3,H \ H,77,75,60,71,45,79,"182cm | 5'11""",0,407,1880,RC Deportivo,LaLiga Santander ,Romania
Oyarzabal,77,LW,Normal,400,3,3,H \ M,73,70,72,80,33,58,"178cm | 5'10""",0,386,1730,Real Sociedad,LaLiga Santander ,Spain
Dembélé,77,RM,Normal,1.3K,5,5,H \ M,84,72,70,82,41,52,"178cm | 5'10""",40,401,1806,Bor. Dortmund,Bundesliga,France
Delort,77,ST,Normal,10K,3,3,H \ H,77,77,62,76,26,79,"182cm | 5'11""",1,397,1794,Tigres,LIGA Bancomer MX,France
Korb,77,RB,Movember,10.75K,2,3,H \ M,73,49,70,76,75,73,"177cm | 5'9""",1,416,1882,Bor. M'gladbach,Bundesliga,Germany
Jedinák,77,CDM,Movember,11.25K,2,3,M \ H,50,68,67,60,77,88,"188cm | 6'2""",2,410,1924,Aston Villa,EFL Championship,Australia
Orozco,77,GK,Normal,400,1,4,M \ M,80,72,84,77,62,74,"184cm | 6'0""",0,449,968,Santos Laguna,LIGA Bancomer MX,Mexico
van Ginkel,77,CM,Normal,1.5K,3,4,H \ M,72,73,74,74,64,77,"186cm | 6'1""",1,434,1990,PSV,Eredivisie,Netherlands
Musonda,77,LM,Normal,950,5,5,H \ M,88,65,70,83,23,47,"173cm | 5'8""",24,376,1669,Chelsea,Premier League,Belgium
Bazoer,77,CM,Normal,600,3,3,M \ M,76,66,75,79,64,75,"184cm | 6'0""",3,435,1968,VfL Wolfsburg,Bundesliga,Netherlands
Iturbe,77,RW,Normal,700,4,3,M \ M,92,70,67,84,25,54,"169cm | 5'6""",-1,392,1801,Torino,Calcio A,Paraguay
Pavoletti,77,ST,Normal,400,2,3,H \ M,68,76,49,69,27,76,"188cm | 6'2""",0,365,1642,Napoli,Calcio A,Italy
Demir,77,ST,Normal,10K,4,3,H \ L,78,78,74,81,31,67,"175cm | 5'8""",0,409,1928,Gaziantepspor,Süper Lig,Turkey
Pardo,77,RW,Normal,850,3,4,H \ M,86,77,70,78,38,77,"178cm | 5'10""",0,426,1934,FC Nantes,Ligue 1,Colombia
Barnetta,77,CAM,Normal,400,3,4,M \ M,74,69,77,78,56,63,"178cm | 5'10""",0,417,1958,FC St. Gallen,Raiffeisen SL,Switzerland
Sam,77,RM,Normal,450,3,3,M \ L,86,76,72,79,33,59,"174cm | 5'8""",0,405,1890,Darmstadt,Bundesliga,Germany
Moreno,77,ST,Normal,400,3,4,M \ L,73,79,69,74,32,65,"178cm | 5'10""",-1,392,1845,Atl. Nacional,Liga Dimayor,Colombia
Niasse,77,ST,Normal,8K,2,3,M \ M,83,75,57,75,30,73,"182cm | 5'11""",1,393,1749,Hull City,Premier League,Senegal
Devic,77,ST,Normal,400,3,4,H \ M,78,77,69,74,36,69,"185cm | 6'0""",-1,403,1880,FC Rostov,Russian League,Ukraine
Berahino,77,ST,Normal,400,3,4,M \ M,82,78,57,76,27,60,"180cm | 5'10""",1,380,1727,Stoke City,Premier League,England
Ledesma,77,CDM,Normal,2.3K,2,4,M \ M,54,66,82,76,65,69,"180cm | 5'10""",0,412,2003,Terni,Calcio B,Italy
Rubén Pardo,77,CM,Normal,450,2,4,M \ M,67,62,79,76,58,59,"182cm | 5'11""",0,401,1885,Real Betis,LaLiga Santander ,Spain
Adrián,77,ST,Normal,2.7K,3,3,L \ L,76,73,67,81,27,66,"183cm | 6'0""",0,390,1791,Villarreal CF,LaLiga Santander ,Spain
Rodallega,77,ST,Normal,400,3,3,H \ L,81,77,68,75,38,70,"181cm | 5'11""",0,409,1899,Trabzonspor,Süper Lig,Colombia
Douglão,77,CB,Normal,0,2,3,M \ H,44,36,56,42,78,82,"193cm | 6'3""",0,338,1508,Kayserispor,Süper Lig,Brazil
Zárate,77,ST,Normal,900,4,4,M \ L,80,79,68,85,33,65,"176cm | 5'9""",1,410,1901,Watford,Premier League,Argentina
Delort,77,ST,Normal,400,3,3,H \ H,77,77,62,76,26,79,"182cm | 5'11""",0,397,1794,Toulouse FC,Ligue 1,France
Mas,77,LB,Normal,400,2,2,M \ M,81,60,68,72,73,80,"183cm | 6'0""",0,434,1954,Trabzonspor,Süper Lig,Argentina
Ayew,77,ST,Normal,400,4,3,H \ M,77,76,71,77,31,73,"182cm | 5'11""",-1,405,1882,Swansea City,Premier League,Ghana
Gibson,77,CM,Normal,400,2,4,M \ M,59,68,78,71,74,74,"180cm | 5'10""",0,424,1974,Sunderland,Premier League,Republic of Ireland
Alessandrini,77,RM,Normal,3.2K,4,4,M \ M,89,77,71,78,29,56,"173cm | 5'8""",3,400,1872,LA Galaxy,MLS,France
Vargas,77,CF,Normal,400,4,4,M \ M,81,76,71,82,32,62,"176cm | 5'9""",0,404,1890,Tigres,LIGA Bancomer MX,Chile
Grenier,77,CM,Normal,400,4,4,H \ M,57,73,81,77,56,67,"186cm | 6'1""",-2,411,1968,Roma,Calcio A,France
Morrison,77,CAM,Normal,3.4K,4,4,M \ L,78,66,74,79,43,64,"175cm | 5'8""",1,404,1813,QPR,EFL Championship,England
Cartabia,77,RM,Normal,400,4,3,H \ M,79,73,73,83,33,52,"170cm | 5'6""",0,393,1841,SC Braga,LIGA NOS,Argentina
Grosicki,77,RW,Normal,700,3,3,M \ M,88,75,73,76,32,59,"180cm | 5'10""",7,403,1817,Hull City,Premier League,Poland
Gonçalo Guedes,77,CF,OTW,14K,3,3,H \ M,87,76,70,77,35,64,"179cm | 5'10""",10,409,1890,PSG,Ligue 1,Portugal
Berahino,77,ST,OTW,11K,3,4,M \ M,82,78,57,76,27,60,"180cm | 5'10""",9,380,1727,Stoke City,Premier League,England
Gonçalo Guedes,77,CF,Normal,700,3,3,H \ M,87,76,70,77,35,64,"179cm | 5'10""",10,409,1890,PSG,Ligue 1,Portugal
Morgan,77,CB,Normal,750,2,3,M \ M,50,30,41,56,78,82,"185cm | 6'0""",0,337,1457,Leicester City,Premier League,Jamaica
Elneny,77,CDM,Normal,700,3,3,M \ H,63,67,73,70,73,78,"180cm | 5'10""",3,424,1907,Arsenal,Premier League,Egypt
Snodgrass,77,RM,Normal,650,3,3,H \ H,66,76,78,77,43,74,"182cm | 5'11""",-1,414,1921,West Ham,Premier League,Scotland
Rashford,77,ST,Normal,1.1K,3,3,H \ L,90,74,67,80,31,66,"180cm | 5'10""",19,408,1856,Manchester Utd,Premier League,England
Rossettini,77,CB,Normal,500,2,3,M \ H,67,44,46,54,79,77,"187cm | 6'1""",0,367,1637,Torino,Calcio A,Italy
Berisha,77,GK,Normal,450,1,2,M \ M,79,74,67,81,28,77,"194cm | 6'4""",0,406,697,Atalanta,Calcio A,Albania
Wallace,77,CB,Normal,400,2,2,M \ M,59,28,44,49,78,77,"191cm | 6'3""",0,335,1490,Lazio,Calcio A,Brazil
Pellegrini,77,CM,Normal,1.1K,2,3,M \ M,77,64,75,75,70,72,"186cm | 6'1""",1,433,1927,Sassuolo,Calcio A,Italy
Cardinale,77,GK,Normal,400,1,3,M \ M,78,76,75,79,48,79,"181cm | 5'11""",0,435,871,OGC Nice,Ligue 1,France
Dalbert,77,LB,Normal,750,2,3,H \ M,90,63,70,79,72,73,"181cm | 5'11""",9,447,1965,OGC Nice,Ligue 1,Brazil
Lafont,77,GK,Normal,700,1,3,M \ M,78,77,71,79,48,76,"193cm | 6'3""",1,429,782,Toulouse FC,Ligue 1,France
Fábio Coentrão,77,LB,Normal,7.3K,3,2,M \ M,76,65,73,76,76,67,"179cm | 5'10""",0,433,1983,Real Madrid,LaLiga Santander ,Portugal
Halilovic,77,CAM,Normal,700,4,3,H \ M,77,64,76,80,28,44,"170cm | 5'6""",0,369,1708,UD Las Palmas,LaLiga Santander ,Croatia
Gabriel,77,CAM,Normal,600,3,4,M \ M,62,68,75,78,66,77,"185cm | 6'0""",0,426,1953,CD Leganés,LaLiga Santander ,Brazil
Gerard Moreno,77,ST,Normal,400,2,4,M \ M,67,77,63,74,44,63,"177cm | 5'9""",0,388,1803,RCD Espanyol,LaLiga Santander ,Spain
Victor Sánchez,77,RB,Normal,500,3,3,M \ M,65,62,78,71,78,69,"174cm | 5'8""",0,423,1994,RCD Espanyol,LaLiga Santander ,Spain
Agirretxe,77,ST,Normal,400,3,3,M \ M,52,76,61,72,46,67,"187cm | 6'1""",0,374,1747,Real Sociedad,LaLiga Santander ,Spain
Fran Rico,77,CDM,Normal,400,2,3,M \ M,59,66,77,70,70,71,"178cm | 5'10""",0,413,1934,SD Eibar,LaLiga Santander ,Spain
